"分类","法规名称","文号/标准号","条款号","条文内容","关键词","官方来源URL","发布机关","施行日期","现行状态","备注"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十一条","第十一条 国务院有关部门应当按照保障安全生产的要求，依法及时制定有关的国家标准或者行业标准，并根据科技进步和经济发展适时修订。
生产经营单位必须执行依法制定的保障安全生产的国家标准或者行业标准。","安全生产,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十二条","第十二条 国务院有关部门按照职责分工负责安全生产强制性国家标准的项目提出、组织起草、征求意见、技术审查。国务院应急管理部门统筹提出安全生产强制性国家标准的立项计划。国务院标准化行政主管部门负责安全生产强制性国家标准的立项、编号、对外通报和授权批准发布工作。国务院标准化行政主管部门、有关部门依据法定职责对安全生产强制性国家标准的实施进行监督检查。","安全生产,应急,检查,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十三条","第十三条 各级人民政府及其有关部门应当采取多种形式，加强对有关安全生产的法律、法规和安全生产知识的宣传，增强全社会的安全生产意识。","安全生产,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十四条","第十四条 有关协会组织依照法律、行政法规和章程，为生产经营单位提供安全生产方面的信息、培训等服务，发挥自律作用，促进生产经营单位加强安全生产管理。","安全生产,培训,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十五条","第十五条 依法设立的为安全生产提供技术、管理服务的机构，依照法律、行政法规和执业准则，接受生产经营单位的委托为其安全生产工作提供技术、管理服务。
生产经营单位委托前款规定的机构提供安全生产技术、管理服务的，保证安全生产的责任仍由本单位负责。","安全生产,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十六条","第十六条 国家实行生产安全事故责任追究制度，依照本法和有关法律、法规的规定，追究生产安全事故责任单位和责任人员的法律责任。","安全生产,事故,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十七条","第十七条 县级以上各级人民政府应当组织负有安全生产监督管理职责的部门依法编制安全生产权力和责任清单，公开并接受社会监督。","安全生产,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十八条","第十八条 国家鼓励和支持安全生产科学技术研究和安全生产先进技术的推广应用，提高安全生产水平。","安全生产,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十九条","第十九条 国家对在改善安全生产条件、防止生产安全事故、参加抢险救护等方面取得显著成绩的单位和个人，给予奖励。","安全生产,事故,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十条","第二十条 生产经营单位应当具备本法和有关法律、行政法规和国家标准或者行业标准规定的安全生产条件；不具备安全生产条件的，不得从事生产经营活动。","安全生产,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十一条","第二十一条 生产经营单位的主要负责人对本单位安全生产工作负有下列职责：
（一）建立健全并落实本单位全员安全生产责任制，加强安全生产标准化建设；
（二）组织制定并实施本单位安全生产规章制度和操作规程；
（三）组织制定并实施本单位安全生产教育和培训计划；
（四）保证本单位安全生产投入的有效实施；
（五）组织建立并落实安全风险分级管控和隐患排查治理双重预防工作机制，督促、检查本单位的安全生产工作，及时消除生产安全事故隐患；
（六）组织制定并实施本单位的生产安全事故应急救援预案；
（七）及时、如实报告生产安全事故。","安全生产,隐患,事故,风险,应急,救援,报告,培训,检查,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十二条","第二十二条 生产经营单位的全员安全生产责任制应当明确各岗位的责任人员、责任范围和考核标准等内容。
生产经营单位应当建立相应的机制，加强对全员安全生产责任制落实情况的监督考核，保证全员安全生产责任制的落实。","安全生产,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十三条","第二十三条 生产经营单位应当具备的安全生产条件所必需的资金投入，由生产经营单位的决策机构、主要负责人或者个人经营的投资人予以保证，并对由于安全生产所必需的资金投入不足导致的后果承担责任。
有关生产经营单位应当按照规定提取和使用安全生产费用，专门用于改善安全生产条件。安全生产费用在成本中据实列支。安全生产费用提取、使用和监督管理的具体办法由国务院财政部门会同国务院应急管理部门征求国务院有关部门意见后制定。","安全生产,应急,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十四条","第二十四条 矿山、金属冶炼、建筑施工、运输单位和危险物品的生产、经营、储存、装卸单位，应当设置安全生产管理机构或者配备专职安全生产管理人员。
前款规定以外的其他生产经营单位，从业人员超过一百人的，应当设置安全生产管理机构或者配备专职安全生产管理人员；从业人员在一百人以下的，应当配备专职或者兼职的安全生产管理人员。","安全生产,储存,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十五条","第二十五条 生产经营单位的安全生产管理机构以及安全生产管理人员履行下列职责：
（一）组织或者参与拟订本单位安全生产规章制度、操作规程和生产安全事故应急救援预案；
（二）组织或者参与本单位安全生产教育和培训，如实记录安全生产教育和培训情况；
（三）组织开展危险源辨识和评估，督促落实本单位重大危险源的安全管理措施；
（四）组织或者参与本单位应急救援演练；
（五）检查本单位的安全生产状况，及时排查生产安全事故隐患，提出改进安全生产管理的建议；
（六）制止和纠正违章指挥、强令冒险作业、违反操作规程的行为；
（七）督促落实本单位安全生产整改措施。
生产经营单位可以设置专职安全生产分管负责人，协助本单位主要负责人履行安全生产管理职责。","安全生产,隐患,事故,应急,救援,培训,演练,作业,检查,整改,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十六条","第二十六条 生产经营单位的安全生产管理机构以及安全生产管理人员应当恪尽职守，依法履行职责。
生产经营单位作出涉及安全生产的经营决策，应当听取安全生产管理机构以及安全生产管理人员的意见。
生产经营单位不得因安全生产管理人员依法履行职责而降低其工资、福利等待遇或者解除与其订立的劳动合同。
危险物品的生产、储存单位以及矿山、金属冶炼单位的安全生产管理人员的任免，应当告知主管的负有安全生产监督管理职责的部门。","安全生产,储存,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二十七条","第二十七条 生产经营单位的主要负责人和安全生产管理人员必须具备与本单位所从事的生产经营活动相应的安全生产知识和管理能力。
危险物品的生产、经营、储存、装卸单位以及矿山、金属冶炼、建筑施工、运输单位的主要负责人和安全生产管理人员，应当由主管的负有安全生产监督管理职责的部门对其安全生产知识和管理能力考核合格。考核不得收费。
危险物品的生产、储存、装卸单位以及矿山、金属冶炼单位应当有注册安全工程师从事安全生产管理工作。鼓励其他生产经营单位聘用注册安全工程师从事安全生产管理工作。注册安全工程师按专业分类管理，具体办法由国务院人力资源和社会保障部门、国务院应急管理部门会同国务院有关部门制定。","安全生产,应急,储存,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
